일자,전체글,활동회원수,가입회원수,페이지뷰
2009.06.18 ~ 2009.07.01,0,0,0,0
2009.07.02 ~ 2009.07.15,969,277,301,"2,399"
2009.07.30 ~ 2009.08.12,"7,249","2,368","3,386","13,955"
2009.08.13 ~ 2009.08.26,"10,263","2,337","4,324","16,008"
2009.08.27 ~ 2009.09.09,"12,155","1,980","4,865","10,162"
2009.09.10 ~ 2009.09.23,"14,147","1,869","5,332","9,710"
2009.09.24 ~ 2009.10.07,"15,801","2,010","5,854","8,612"
2009.10.08 ~ 2009.10.21,"17,144","1,687","6,123","6,767"
2009.10.22 ~ 2009.11.04,"18,912","2,091","6,591","8,480"
2009.11.05 ~ 2009.11.18,"27,051","2,864","7,412","26,751"
2009.11.19 ~ 2009.12.02,"30,045","3,105","8,376","15,719"
2009.12.03 ~ 2009.12.16,"32,859","3,164","9,282","21,603"
2009.12.31 ~ 2010.01.13,"42,329","4,755","12,473","40,134"
2010.01.14 ~ 2010.01.27,"46,330","3,821","13,445","38,010"
2010.01.28 ~ 2010.02.10,"50,351","4,215","14,325","28,675"
2010.02.11 ~ 2010.02.24,"53,075","3,701","14,857","22,165"
2010.02.25 ~ 2010.03.10,"55,466","3,456","15,338","17,861"
2010.03.11 ~ 2010.03.24,"57,078","2,952","15,652","12,822"
2010.03.25 ~ 2010.04.07,"58,862","3,271","16,040","14,703"
2010.04.08 ~ 2010.04.21,"60,839","3,283","16,616","15,850"
2010.04.22 ~ 2010.05.05,"62,810","3,559","17,230","20,046"
2010.05.06 ~ 2010.05.19,"64,992","3,527","17,808","20,115"
2010.05.20 ~ 2010.06.02,"66,783","3,426","18,205","17,897"
2010.06.03 ~ 2010.06.16,"68,711","3,758","18,811","18,942"
2010.06.17 ~ 2010.06.30,"71,404","4,200","19,772","21,970"
2010.07.01 ~ 2010.07.14,"74,645","4,977","20,864","26,320"
2010.07.15 ~ 2010.07.28,"78,394","5,541","22,303","32,288"
2010.07.29 ~ 2010.08.11,"83,522","6,321","23,943","45,783"
2010.08.12 ~ 2010.08.25,"88,839","5,899","25,228","44,774"
2010.08.26 ~ 2010.09.08,"91,733","4,862","25,845","28,240"
2010.09.09 ~ 2010.09.22,"94,965","5,069","26,508","30,749"
2010.09.23 ~ 2010.10.06,"100,045","6,479","28,021","43,124"
2010.10.07 ~ 2010.10.20,"104,162","5,369","28,682","34,269"
2010.10.21 ~ 2010.11.03,"107,971","5,330","29,382","33,196"
2010.11.04 ~ 2010.11.17,"111,883","5,181","29,992","30,081"
2010.11.18 ~ 2010.12.01,"115,452","5,096","30,587","32,831"
2010.12.02 ~ 2010.12.15,"126,739","10,785","34,154","82,891"
2010.12.16 ~ 2010.12.29,"142,478","14,447","39,828","127,936"
2010.12.30 ~ 2011.01.12,"157,229","15,391","45,247","135,996"
2011.01.13 ~ 2011.01.26,"175,959","14,880","49,134","152,022"
2011.01.27 ~ 2011.02.09,"197,226","15,449","53,163","147,230"
2011.02.10 ~ 2011.02.23,"230,923","17,938","58,337","204,618"
2011.02.24 ~ 2011.03.09,"259,577","16,827","62,567","189,170"
2011.03.10 ~ 2011.03.23,"274,632","14,364","65,049","125,947"
2011.03.24 ~ 2011.04.06,"284,093","13,397","67,068","106,920"
2011.04.07 ~ 2011.04.20,"291,640","12,033","68,523","84,754"
2011.04.21 ~ 2011.05.04,"298,721","10,576","69,569","77,076"
2011.05.05 ~ 2011.05.18,"307,280","11,451","70,828","77,712"
2011.05.19 ~ 2011.06.01,"313,297","10,199","71,826","66,144"
2011.06.02 ~ 2011.06.15,"317,108","9,830","72,851","61,018"
2011.06.16 ~ 2011.06.29,"321,640","8,743","73,655","57,490"
2011.06.30 ~ 2011.07.13,"325,999","8,277","74,316","48,525"
2011.08.01 ~ 2011.08.07,"341,856","7,193","76,593","88,250"
2011.08.08 ~ 2011.08.14,"346,207","6,644","77,009","76,133"
2011.08.15 ~ 2011.08.21,"351,111","6,872","77,441","85,945"
2011.08.22 ~ 2011.08.28,"354,719","6,196","77,746","48,398"
2011.08.29 ~ 2011.09.04,"357,982","5,766","77,961","43,920"
2011.09.05 ~ 2011.09.11,"360,707","5,703","78,161","37,084"
2011.09.12 ~ 2011.09.18,"364,550","6,495","78,504","54,225"
2011.09.19 ~ 2011.09.25,"367,909","6,181","78,828","50,568"
2011.09.26 ~ 2011.10.02,"371,528","7,210","79,628","54,626"
2011.10.03 ~ 2011.10.09,"374,609","6,465","79,997","49,407"
2011.10.10 ~ 2011.10.16,"377,249","5,952","80,182","40,348"
2011.10.17 ~ 2011.10.23,"379,693","5,769","80,358","36,612"
2011.10.24 ~ 2011.10.30,"382,382","6,497","80,658","45,461"
2011.10.31 ~ 2011.11.06,"385,127","6,063","80,862","40,496"
2011.11.07 ~ 2011.11.13,"387,899","6,502","81,070","45,555"
2011.11.14 ~ 2011.11.20,"390,918","6,740","81,372","49,612"
2011.11.21 ~ 2011.11.27,"395,972","9,925","82,763","81,724"
2011.11.28 ~ 2011.12.04,"406,011","13,067","85,263","140,967"
2011.12.05 ~ 2011.12.11,"414,140","12,842","87,423","139,274"
2011.12.12 ~ 2011.12.18,"422,847","12,905","89,531","131,209"
2011.12.19 ~ 2011.12.25,"433,243","12,468","91,160","130,827"
2011.12.26 ~ 2012.01.01,"455,835","20,923","98,030","245,638"
2012.01.02 ~ 2012.01.08,"476,385","17,256","100,916","236,432"
2012.01.09 ~ 2012.01.15,"495,882","17,779","104,147","204,992"
2012.01.16 ~ 2012.01.22,"514,449","16,558","105,992","191,093"
2012.01.23 ~ 2012.01.29,"534,135","15,840","107,588","220,891"
2012.01.30 ~ 2012.02.05,"561,733","24,262","115,064","265,037"
2012.02.06 ~ 2012.02.12,"580,296","16,423","116,203","203,403"
2012.02.13 ~ 2012.02.19,"597,346","15,054","116,955","181,855"
2012.02.20 ~ 2012.02.26,"618,173","14,625","117,666","179,926"
2012.02.27 ~ 2012.03.04,"641,418","14,039","118,266","174,865"
2012.03.05 ~ 2012.03.11,"654,185","11,851","118,601","109,823"
2012.03.12 ~ 2012.03.18,"664,835","11,353","118,854","95,448"
2012.03.19 ~ 2012.03.25,"677,834","12,318","119,578","133,848"
2012.03.26 ~ 2012.04.01,"688,286","11,505","119,883","84,281"
2012.04.02 ~ 2012.04.08,"699,085","12,811","120,741","108,568"
2012.04.09 ~ 2012.04.15,"710,525","15,992","123,568","117,726"
2012.04.16 ~ 2012.04.22,"720,037","12,766","124,321","113,173"
2012.04.23 ~ 2012.04.29,"728,978","12,244","124,986","101,547"
2012.04.30 ~ 2012.05.06,"739,148","12,342","125,474","117,318"
2012.05.07 ~ 2012.05.13,"747,361","12,248","126,002","101,372"
2012.05.14 ~ 2012.05.20,"757,337","12,901","126,649","118,857"
2012.05.21 ~ 2012.05.27,"764,957","12,294","127,620","112,401"
2012.05.28 ~ 2012.06.03,"774,089","13,099","128,431","128,096"
2012.06.04 ~ 2012.06.10,"781,676","12,598","129,135","124,684"
2012.06.11 ~ 2012.06.17,"790,014","12,077","129,640","121,740"
2012.06.18 ~ 2012.06.24,"797,318","10,909","129,905","99,581"
2012.06.25 ~ 2012.07.01,"804,099","10,943","130,242","107,469"
2012.07.02 ~ 2012.07.08,"811,451","11,265","130,654","103,219"
2012.07.09 ~ 2012.07.15,"818,412","11,032","130,942","114,195"
2012.07.16 ~ 2012.07.22,"825,672","11,687","131,620","117,380"
2012.07.23 ~ 2012.07.29,"831,973","10,669","131,977","103,931"
2012.07.30 ~ 2012.08.05,"839,116","10,852","132,354","95,158"
2012.08.06 ~ 2012.08.12,"846,153","10,667","132,714","93,234"
2012.08.13 ~ 2012.08.19,"853,906","11,533","133,172","108,964"
2012.08.20 ~ 2012.08.26,"860,065","10,462","133,643","81,192"
2012.08.27 ~ 2012.09.02,"867,105","10,742","133,979","101,577"
2012.09.03 ~ 2012.09.09,"873,097","10,114","134,179","93,734"
2012.09.10 ~ 2012.09.16,"878,521","9,807","134,550","81,233"
2012.09.17 ~ 2012.09.23,"886,144","11,502","135,472","106,377"
2012.09.24 ~ 2012.09.30,"891,824","9,880","135,784","88,880"
2012.10.01 ~ 2012.10.07,"898,512","10,761","136,406","89,852"
2012.10.08 ~ 2012.10.14,"902,866","10,500","136,877","83,565"
2012.10.15 ~ 2012.10.21,"907,600","10,017","137,174","79,259"
2012.10.22 ~ 2012.10.28,"911,987","9,589","137,392","72,445"
2012.10.29 ~ 2012.11.04,"917,303","10,838","137,781","79,463"
2012.11.05 ~ 2012.11.11,"924,464","15,023","138,601","87,305"
2012.11.12 ~ 2012.11.18,"931,227","12,400","138,705","97,306"
2012.11.19 ~ 2012.11.25,"935,033","8,710","138,545","60,108"
2012.11.26 ~ 2012.12.02,"938,640","7,968","138,374","53,909"
2012.12.03 ~ 2012.12.09,"940,916","7,623","138,299","46,802"
2012.12.10 ~ 2012.12.16,"944,117","7,545","138,203","56,193"
2012.12.17 ~ 2012.12.23,"947,109","6,916","138,077","53,318"
2012.12.24 ~ 2012.12.30,"949,558","11,202","139,016","59,663"
2012.12.31 ~ 2013.01.06,"953,304","8,191","138,883","59,790"
2013.01.07 ~ 2013.01.13,"956,200","7,874","138,828","49,565"
2013.01.14 ~ 2013.01.20,"954,261","7,665","138,748","56,593"
2013.01.21 ~ 2013.01.27,"957,698","7,922","138,704","59,096"
2013.01.28 ~ 2013.02.03,"960,869","7,555","138,615","58,338"
2013.02.04 ~ 2013.02.10,"963,691","6,668","138,515","47,611"
2013.02.11 ~ 2013.02.17,"966,601","6,853","138,380","51,779"
2013.02.18 ~ 2013.02.24,"969,648","6,818","138,206","56,313"
2013.02.25 ~ 2013.03.03,"971,324","6,821","138,069","58,143"
2013.03.04 ~ 2013.03.10,"974,285","6,097","137,932","47,170"
2013.03.11 ~ 2013.03.17,"976,571","5,592","137,692","41,562"
2013.03.18 ~ 2013.03.24,"977,831","5,117","137,471","38,787"
2013.03.25 ~ 2013.03.31,"979,885","5,124","137,317","38,541"
2013.04.01 ~ 2013.04.07,"981,772","5,152","137,096","36,539"
2013.04.08 ~ 2013.04.14,"983,522","4,844","136,958","37,605"
2013.04.15 ~ 2013.04.21,"985,195","4,664","136,765","36,171"
2013.04.22 ~ 2013.04.28,"986,815","4,579","136,628","35,646"
2013.04.29 ~ 2013.05.05,"988,576","4,669","136,457","36,427"
2013.05.06 ~ 2013.05.12,"989,673","5,966","136,445","46,047"
2013.05.13 ~ 2013.05.19,"992,561","6,712","136,406","68,346"
2013.05.20 ~ 2013.05.26,"993,649","5,406","136,187","46,389"
2013.05.27 ~ 2013.06.02,"996,163","5,370","136,087","45,128"
2013.06.03 ~ 2013.06.09,"998,848","5,987","136,154","48,141"
2013.06.10 ~ 2013.06.16,"1,001,160","5,479","136,164","49,083"
2013.06.17 ~ 2013.06.23,"1,003,414","5,073","136,068","41,369"
2013.06.24 ~ 2013.06.30,"1,006,097","5,672","136,182","46,160"
2013.07.01 ~ 2013.07.07,"1,008,527","7,037","136,574","58,212"
2013.07.08 ~ 2013.07.14,"1,010,751","5,651","136,491","43,597"
2013.07.15 ~ 2013.07.21,"1,014,632","5,654","136,452","52,978"
2013.07.22 ~ 2013.07.28,"1,018,738","6,310","136,450","56,126"
2013.07.29 ~ 2013.08.04,"1,022,429","5,889","136,357","57,874"
2013.08.05 ~ 2013.08.11,"1,025,744","5,959","136,348","47,171"
2013.08.12 ~ 2013.08.18,"1,029,037","6,157","136,398","40,168"
2013.08.19 ~ 2013.08.25,"1,032,163","5,504","136,287","41,791"
2013.08.26 ~ 2013.09.01,"1,034,746","5,607","136,212","43,511"
2013.09.02 ~ 2013.09.08,"1,037,127","5,067","136,075","36,250"
2013.09.09 ~ 2013.09.15,"1,040,089","5,369","135,973","39,388"
2013.09.16 ~ 2013.09.22,"1,043,516","6,689","136,060","49,980"
2013.09.23 ~ 2013.09.29,"1,047,452","6,696","136,118","44,983"
2013.09.30 ~ 2013.10.06,"1,051,762","6,841","136,180","49,500"
2013.10.07 ~ 2013.10.13,"1,058,218","10,109","137,107","78,070"
2013.10.14 ~ 2013.10.20,"1,063,296","8,685","137,873","70,383"
2013.10.21 ~ 2013.10.27,"1,068,878","8,886","138,460","79,971"
2013.10.28 ~ 2013.11.03,"1,072,679","7,436","138,680","52,682"
2013.11.04 ~ 2013.11.10,"1,076,003","6,949","138,803","42,019"
2013.11.11 ~ 2013.11.17,"1,079,572","6,988","139,129","41,141"
2013.11.18 ~ 2013.11.24,"1,083,841","7,758","139,560","47,070"
2013.11.25 ~ 2013.12.01,"1,088,044","7,744","139,981","51,598"
2013.12.02 ~ 2013.12.08,"1,092,369","7,139","140,278","45,783"
2013.12.09 ~ 2013.12.15,"1,092,379","6,675","140,385","40,348"
2013.12.16 ~ 2013.12.22,"1,098,177","7,597","140,614","51,072"
2013.12.23 ~ 2013.12.29,"1,104,713","8,013","140,887","52,781"
2013.12.30 ~ 2014.01.05,"1,114,165","8,151","141,178","59,434"
2014.01.06 ~ 2014.01.12,"1,122,554","8,249","141,654","57,984"
2014.01.13 ~ 2014.01.19,"1,129,918","8,683","142,218","52,037"
2014.01.20 ~ 2014.01.26,"1,137,697","9,416","143,094","60,824"
2014.01.27 ~ 2014.02.02,"1,141,413","9,157","143,663","49,570"
2014.02.03 ~ 2014.02.09,"1,146,983","8,400","144,062","41,113"
2014.02.10 ~ 2014.02.16,"1,152,720","9,609","144,699","49,089"
2014.02.17 ~ 2014.02.23,"1,157,718","8,052","144,867","39,965"
2014.02.24 ~ 2014.03.02,"1,162,838","9,260","145,449","41,165"
2014.03.03 ~ 2014.03.09,"1,167,321","8,877","145,979","38,055"
2014.03.10 ~ 2014.03.16,"1,171,629","9,266","146,249","40,926"
2014.03.17 ~ 2014.03.23,"1,175,107","8,456","146,396","37,290"
2014.03.24 ~ 2014.03.30,"1,179,230","8,934","146,563","40,470"
2014.03.31 ~ 2014.04.06,"1,183,578","7,979","146,586","33,747"
2014.04.07 ~ 2014.04.13,"1,187,267","9,557","146,949","37,958"
2014.04.14 ~ 2014.04.20,"1,189,804","9,550","147,461","39,662"
2014.04.21 ~ 2014.04.27,"1,191,988","8,260","147,576","29,249"
2014.04.28 ~ 2014.05.04,"1,194,291","8,105","147,429","28,525"
2014.05.05 ~ 2014.05.11,"1,196,975","9,355","147,712","43,514"
2014.05.12 ~ 2014.05.18,"1,210,196","10,516","148,131","51,141"
2014.05.19 ~ 2014.05.25,"1,218,534","10,141","148,664","47,725"
2014.05.26 ~ 2014.06.01,"1,220,277","9,457","148,966","42,902"
2014.06.02 ~ 2014.06.08,"1,223,425","9,895","149,487","42,664"
2014.06.09 ~ 2014.06.15,"1,226,554","9,020","150,111","36,397"
2014.06.16 ~ 2014.06.22,"1,229,824","9,493","151,397","31,761"
2014.06.23 ~ 2014.06.29,"1,234,243","9,600","152,111","40,528"
2014.06.30 ~ 2014.07.06,"1,238,395","9,959","152,535","39,788"
2014.07.07 ~ 2014.07.13,"1,241,704","8,699","152,869","30,672"
2014.07.14 ~ 2014.07.20,"1,244,816","8,581","153,123","28,403"
2014.07.21 ~ 2014.07.27,"1,248,592","10,122","153,776","36,743"
2014.07.28 ~ 2014.08.03,"1,252,527","9,484","154,398","32,677"
2014.08.04 ~ 2014.08.10,"1,256,643","10,411","154,914","34,108"
2014.08.11 ~ 2014.08.17,"1,260,839","11,805","156,360","36,086"
2014.08.18 ~ 2014.08.24,"1,264,353","9,579","156,870","32,292"
2014.08.25 ~ 2014.08.31,"1,268,357","9,623","157,167","34,234"
2014.09.01 ~ 2014.09.07,"1,272,260","8,962","157,237","38,804"
2014.09.08 ~ 2014.09.14,"1,275,430","9,714","157,684","33,745"
2014.09.15 ~ 2014.09.21,"1,280,463","11,435","158,412","44,287"
2014.09.22 ~ 2014.09.28,"1,285,320","10,294","159,049","43,805"
2014.09.29 ~ 2014.10.05,"1,291,162","10,176","159,526","44,068"
2014.10.06 ~ 2014.10.12,"1,295,053","9,023","159,735","34,941"
2014.10.13 ~ 2014.10.19,"1,295,983","10,322","160,050","37,025"
2014.10.20 ~ 2014.10.26,"1,300,080","11,202","160,585","40,977"
2014.10.27 ~ 2014.11.02,"1,304,457","9,208","160,731","40,831"
2014.11.03 ~ 2014.11.09,"1,306,638","9,222","160,821","30,923"
2014.11.10 ~ 2014.11.16,"1,310,503","9,714","161,019","27,280"
2014.11.17 ~ 2014.11.23,"1,313,691","8,435","161,101","22,848"
2014.11.24 ~ 2014.11.30,"1,316,348","8,919","161,212","25,511"
2014.12.01 ~ 2014.12.07,"1,320,464","11,496","162,122","36,321"
2014.12.08 ~ 2014.12.14,"1,323,496","9,090","162,384","26,283"
2014.12.15 ~ 2014.12.21,"1,326,337","10,072","162,848","33,982"
2014.12.22 ~ 2014.12.28,"1,330,414","10,222","163,251","31,126"
2014.12.29 ~ 2015.01.04,"1,334,812","11,012","163,555","25,187"
2015.01.05 ~ 2015.01.11,"1,338,253","9,762","163,868","23,108"
2015.01.12 ~ 2015.01.18,"1,341,404","9,297","164,132","23,231"
2015.01.19 ~ 2015.01.25,"1,344,454","9,441","164,242","25,639"
2015.01.26 ~ 2015.02.01,"1,347,213","8,986","164,332","22,848"
2015.02.02 ~ 2015.02.08,"1,350,400","9,165","164,388","24,652"
2015.02.09 ~ 2015.02.15,"1,352,931","8,385","164,458","20,797"
2015.02.16 ~ 2015.02.22,"1,355,849","8,730","164,611","20,963"
2015.02.23 ~ 2015.03.01,"1,358,410","8,038","164,639","20,367"
2015.03.02 ~ 2015.03.08,"1,360,440","6,874","164,510","19,725"
2015.03.09 ~ 2015.03.15,"1,362,244","6,771","164,486","22,385"
2015.03.16 ~ 2015.03.22,"1,363,843","6,562","164,307","21,813"
2015.03.23 ~ 2015.03.29,"1,366,373","8,949","164,332","23,930"
2015.03.30 ~ 2015.04.05,"1,369,251","7,304","164,453","24,579"
2015.04.06 ~ 2015.04.12,"1,371,591","8,607","164,673","28,570"
2015.04.13 ~ 2015.04.19,"1,373,569","6,603","164,747","21,336"
2015.04.20 ~ 2015.04.26,"1,375,395","6,721","164,873","23,448"
2015.04.27 ~ 2015.05.03,"1,377,116","6,586","165,011","23,993"
2015.05.04 ~ 2015.05.10,"1,379,223","6,888","165,139","23,688"
2015.05.11 ~ 2015.05.17,"1,382,295","8,334","165,394","31,728"
2015.05.18 ~ 2015.05.24,"1,384,628","8,621","165,959","30,415"
2015.05.25 ~ 2015.05.31,"1,386,805","7,317","166,338","27,454"
2015.06.01 ~ 2015.06.07,"1,389,856","8,123","167,177","30,793"
2015.06.08 ~ 2015.06.14,"1,394,094","9,515","168,710","42,357"
